제목,링크,가격,평점
프로젝트 헤일메리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454373,"19,800원",9.4
왕과 사는 남자 각본집,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388732158,"16,200원",10.0
괴테는 모든 것을 말했다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=376765918,"15,300원",8.0
인생을 위한 최소한의 생각,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385481121,"17,820원",9.9
엄마와 딸들의 미친년의 역사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388054879,"16,020원",10.0
완벽한 원시인,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386947012,"19,800원",9.6
마션,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454339,"17,820원",9.7
아르테미스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=270454242,"17,820원",8.3
부처님 말씀대로 살아보니,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385370551,"17,010원",9.7
무례한 세상에서 나를 지키는 법,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388169547,"17,820원",10.0
사랑이 있으니 살아집디다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388509769,"16,200원",6.4
죽은 왕녀를 위한 파반느 (양장 특별판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377942402,"18,000원",8.7
모순,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=25843736,"11,700원",9.1
3월의 벽력 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388137331,"5,400원",10.0
내 가게에 부모님을 고용했습니다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386616340,"17,100원",10.0
싯다르타,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=329596,"7,200원",9.0
안녕이라 그랬어,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=365665217,"15,120원",9.6
박곰희 연금 부자 수업,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=366615290,"18,900원",9.3
스파이 패밀리 16,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388016420,"5,400원",9.3
자몽살구클럽,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=368083714,"10,800원",7.3
혼모노,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361016676,"16,200원",8.4
살찌지 않는 몸,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387584786,"17,820원",10.0
박태웅의 AI 강의 2026,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388083105,"20,700원",8.9
ETS 토익 정기시험 기출문제집 1000 Vol. 5 Reading (리딩),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=380347281,"19,800원",6.0
소설 보다 : 봄 2026,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387712899,"4,950원",8.7
다있소 과학 1,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387305167,"13,050원",9.9
코스피 1만 넥스트 레벨,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385807557,"19,800원",9.8
세종의 나라 1 (양장),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386006778,"19,800원",9.4
ETS 토익 정기시험 기출문제집 1000 Vol. 5 Listening (리스닝),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=380347074,"19,800원",7.3
살면서 한번은 벽돌책,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387582381,"17,550원",8.0
수영장에 토성이 떨어졌다고?,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386565484,"15,120원",9.8
세종의 나라 2 (양장),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386006888,"19,800원",8.0
매일 아침 나는 텃밭에 간다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388028283,"16,650원",10.0
예루살렘의 아이히만 (알라딘 리커버 특별판),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388034046,"27,000원",7.2
나의 완벽한 장례식,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383575374,"17,100원",9.6
정답은 있다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386454735,"16,200원",9.3
단다단 20,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388496310,"5,400원",10.0
돈의 방정식,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383256009,"25,200원",9.0
김재우의 기본 동사 100,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379688982,"19,800원",8.9
인생 마지막에 쓰는 주식투자 교과서,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387524345,"22,500원",8.4
쥬디 할머니,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383333321,"16,650원",10.0
자본주의 시대에서 살아남기 위한 최소한의 경제 공부,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379077056,"25,200원",9.4
엄마가 유령이 되었어!,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=83509745,"10,800원",9.1
일본 광고 카피 도감,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383843383,"16,920원",9.5
최소한의 삼국지,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=377732124,"17,550원",9.7
긴긴밤,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=263027170,"11,250원",9.6
숨은민국,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=384072170,"18,000원",9.2
해커스 토익 기출 VOCA (보카),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=176021392,"11,610원",9.2
급류,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=307692409,"12,600원",6.6
"사랑을 담아, 제인 오스틴",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385168102,"18,900원",9.8
캔들차트 하나로 끝내는 추세추종 투자,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=383430724,"22,500원",8.5
2026 해커스 GSAT 삼성직무적성검사 통합 기본서 최신기출유형 + 실전모의고사 (수리/추리),https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=382428618,"21,600원",10.0
위버멘쉬,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=359025448,"16,020원",9.0
코스모스,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=870950,"19,800원",9.4
진보를 위한 주식투자,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=379685661,"19,800원",7.4
카프네,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388044595,"16,200원",10.0
만화의 원리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385946226,"21,600원",9.0
어스플러스 1 : 어스플러스 탐험대 플루,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=361769955,"14,220원",10.0
500가지 건축으로 읽는 세계사,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387893976,"22,500원",10.0
집중력 죽이기,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387886783,"17,100원",9.0
백귀야행 31,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387062834,"7,200원",9.8
생각의 도약,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=356276093,"16,200원",9.1
밤의 공작새,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387326743,"22,320원",10.0
소년이 온다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=40869703,"13,500원",9.6
사랑의 기술,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=203299303,"15,300원",8.0
GACHIAKUTA 16,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387708173,"5,400원",10.0
시간관리국,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=387271734,"17,820원",10.0
우리가 사랑한 도시,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=388084734,"15,750원",9.0
루이즈 미셸 회고록,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385970959,"19,800원",9.6
어린 임금의 눈물,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=474193,"13,500원",9.7
"소유하기, 소유되기",https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=386946432,"19,800원",9.6
가브리엘의 잉글리시 다이어리,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=373227355,"24,300원",10.0
브람스를 좋아하세요...,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=2156605,"9,000원",8.9
쓰는 만큼 내가 된다,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=385928518,"16,200원",9.7
김재우의 기초 영어회화 100,https://www.aladin.co.kr/shop/wproduct.aspx?ItemId=353238637,"17,010원",9.5
